# phi energy
-3.141592653589793116e+00 -5.038536127339803497e+05
-3.054326190990076739e+00 -5.038535213761107880e+05
-2.967059728390360362e+00 -5.038532508179972065e+05
-2.879793265790643542e+00 -5.038527966871729586e+05
-2.792526803190927165e+00 -5.038521521104166168e+05
-2.705260340591210788e+00 -5.038513136763005750e+05
-2.617993877991494411e+00 -5.038502745174909360e+05
-2.530727415391777591e+00 -5.038490293724106741e+05
-2.443460952792061214e+00 -5.038475677769755712e+05
-2.356194490192344837e+00 -5.038458717246406013e+05
-2.268928027592628460e+00 -5.038439277616060572e+05
-2.181661564992912083e+00 -5.038417255767374882e+05
-2.094395102393195707e+00 -5.038392342132452759e+05
-2.007128639793478886e+00 -5.038364400654094643e+05
-1.919862177193762509e+00 -5.038333277821996599e+05
-1.832595714594045910e+00 -5.038298697185398196e+05
-1.745329251994329534e+00 -5.038260442920806236e+05
-1.658062789394613157e+00 -5.038218655867845519e+05
-1.570796326794896558e+00 -5.038173758755536401e+05
-1.483529864195180181e+00 -5.038206189939730102e+05
-1.396263401595463582e+00 -5.038238559350425494e+05
-1.308996938995747206e+00 -5.038269051386346109e+05
-1.221730476396030607e+00 -5.038297192768134410e+05
-1.134464013796314230e+00 -5.038322926190543221e+05
-1.047197551196597853e+00 -5.038346203583632014e+05
-9.599310885968814766e-01 -5.038367170495909522e+05
-8.726646259971646558e-01 -5.038385889244927675e+05
-7.853981633974482790e-01 -5.038402446999073727e+05
-6.981317007977319022e-01 -5.038416975869527669e+05
-6.108652381980155255e-01 -5.038429536812747247e+05
-5.235987755982987046e-01 -5.038440225277420832e+05
-4.363323129985823279e-01 -5.038449096669090795e+05
-3.490658503988659511e-01 -5.038456278796597617e+05
-2.617993877991495744e-01 -5.038461806703939219e+05
-1.745329251994331976e-01 -5.038465730134614278e+05
-8.726646259971637676e-02 -5.038468072028431343e+05
0.000000000000000000e+00 -5.038468851926106145e+05
8.726646259971637676e-02 -5.038468072174525005e+05
1.745329251994327535e-01 -5.038465736105560791e+05
2.617993877991495744e-01 -5.038461821505498374e+05
3.490658503988659511e-01 -5.038456298385152477e+05
4.363323129985823279e-01 -5.038449126578758005e+05
5.235987755982987046e-01 -5.038440195541760186e+05
6.108652381980150814e-01 -5.038429515013310011e+05
6.981317007977319022e-01 -5.038417002268703072e+05
7.853981633974482790e-01 -5.038402461497549084e+05
8.726646259971646558e-01 -5.038385864399980637e+05
9.599310885968810325e-01 -5.038367161722187884e+05
1.047197551196597409e+00 -5.038346163646138739e+05
1.134464013796313786e+00 -5.038322840111560654e+05
1.221730476396030163e+00 -5.038297086452803924e+05
1.308996938995747428e+00 -5.038268922488442040e+05
1.396263401595463804e+00 -5.038238394176184083e+05
1.483529864195180181e+00 -5.038206116022850038e+05
1.570796326794896558e+00 -5.038172517500864924e+05
1.658062789394612935e+00 -5.038218615728970035e+05
1.745329251994329312e+00 -5.038260712260162691e+05
1.832595714594045688e+00 -5.038298780420500552e+05
1.919862177193762065e+00 -5.038333316415211884e+05
2.007128639793478442e+00 -5.038364435963251162e+05
2.094395102393195707e+00 -5.038392435633710120e+05
2.181661564992912083e+00 -5.038417281534807407e+05
2.268928027592628460e+00 -5.038439346786368988e+05
2.356194490192344837e+00 -5.038458739210185595e+05
2.443460952792061214e+00 -5.038475737542192219e+05
2.530727415391777591e+00 -5.038490405031028204e+05
2.617993877991493967e+00 -5.038502933306015912e+05
2.705260340591210344e+00 -5.038513222967098118e+05
2.792526803190926721e+00 -5.038521567835625610e+05
2.879793265790643986e+00 -5.038528001796145691e+05
2.967059728390360362e+00 -5.038532581191170029e+05
3.054326190990076739e+00 -5.038535330130034708e+05
