#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
51000,-83114.00148769596,15577.437182488618,-67536.56430520734,299.8375698916593,0.9794553233373811
52000,-82915.72325599514,15468.682578503154,-67447.04067749198,297.7442399175742,0.9936889174912926
53000,-83363.24075839587,15580.62022599671,-67782.62053239916,299.89883773816996,0.992224262099622
54000,-83148.54923102277,15423.391141395317,-67725.15808962745,296.8724614420634,0.9919686582399693
55000,-83127.21010112303,15479.173700885149,-67648.03640023788,297.9461751013661,0.9802254885248474
56000,-82930.92424068484,15551.309937106445,-67379.61430357839,299.33466754183246,0.9844449202537969
57000,-82670.98965783126,15405.162433917634,-67265.82722391363,296.52159170088936,0.9868927962909384
58000,-82867.23768455588,15304.262212245027,-67562.97547231085,294.57944441995835,0.981945865640171
59000,-82905.95346408495,15503.385557264555,-67402.56790682039,298.41220966753525,0.9846005674929345
60000,-82886.8442544234,15485.809366034344,-67401.03488838905,298.07389968722975,0.9840985424386978
61000,-83022.46413027518,15640.027589762118,-67382.43654051307,301.0423223419861,0.984576174853827
62000,-82728.68984231132,15455.713841316407,-67272.97600099491,297.4946151174813,0.9844206724114418
63000,-83336.93263440218,15700.01505273208,-67636.9175816701,302.196972809208,0.9875393241520964
64000,-83245.86118468264,15886.739449433051,-67359.12173524959,305.79108066471855,0.9941893525662034
65000,-83553.12119768024,15624.650351997465,-67928.47084568278,300.7463382498029,0.9951197555602438
66000,-83541.8520663908,15587.608263393166,-67954.24380299763,300.03334485424557,0.9801834963370197
67000,-83392.11838987248,15725.53954176238,-67666.5788481101,302.68827318640837,0.9853848769739415
68000,-82947.71519969357,15455.014078946318,-67492.70112074725,297.48114595396675,0.9778426610596122
69000,-83373.18117776449,15545.84095028229,-67827.3402274822,299.22939940947447,0.9917835560675349
70000,-83459.48556726135,15592.661207982106,-67866.82435927924,300.1306049239602,0.9902994796534241
71000,-83588.99095041153,15417.013729417231,-68171.9772209943,296.74970776395156,0.9855420752650237
72000,-83427.22983410285,15524.319492505223,-67902.91034159763,298.81515016392746,0.9881474928648092
73000,-83116.56415225647,15419.62972726021,-67696.93442499626,296.8000610041471,0.9887341900859814
74000,-82818.01869420696,15811.72238828498,-67006.29630592198,304.3471375403427,0.9840437972123965
75000,-82754.94003406039,15451.856411339482,-67303.08362272091,297.4203665477866,0.9840557600246937
76000,-82892.44442150352,15696.844915338792,-67195.59950616473,302.1359533821295,0.9804967311730423
77000,-83032.91627896106,15613.2328745774,-67419.68340438366,300.52657240232617,0.9954856341664227
78000,-83349.4464103193,15825.043792220415,-67524.40261809889,304.60355053926884,0.9790458176390833
79000,-83332.5291042251,15512.148472311208,-67820.3806319139,298.58087997716154,0.9866466431860546
80000,-83165.6341009853,15694.544245475205,-67471.0898555101,302.0916696368035,0.9809595281141005
81000,-82892.29855741747,15512.405128786195,-67379.89342863127,298.5858201513928,0.9757020380134052
82000,-83273.63587239402,15832.091907587368,-67441.54396480665,304.7392140479184,0.9767591552465962
83000,-83617.52527861611,15656.22017851891,-67961.3051000972,301.35400047017976,0.9948316461043272
84000,-83756.28941747092,15674.04373397585,-68082.24568349507,301.6970717656972,0.9861402958824276
85000,-83295.5410560022,15431.197811497492,-67864.34324450471,297.02272576121686,0.9857981737982192
86000,-83699.36007083819,15594.716019419022,-68104.64405141916,300.17015633800946,0.9878743867054427
87000,-83489.76026903122,15350.368140058825,-68139.3921289724,295.4669003725223,0.9854340078512984
88000,-83670.71627799753,15519.079852733063,-68151.63642526447,298.7142965486641,0.9909504137137123
89000,-83417.14703764126,15268.283540745266,-68148.863496896,293.8869198856566,0.9898758531997875
90000,-83675.15110560553,15567.677417937666,-68107.47368766787,299.6497120270189,0.9942508298511148
91000,-83269.05084337533,15512.881975647877,-67756.16886772745,298.59499859342674,0.9840973254343036
92000,-83622.3509596982,15910.940491764573,-67711.41046793363,306.2569070799704,0.984041754679745
93000,-82617.08709968836,15271.771067727765,-67345.3160319606,293.9540484898752,0.9749106112979241
94000,-83482.94255876914,16179.989603945287,-67302.95295482385,311.43561722546593,0.9801799069517072
95000,-83037.54381741019,15629.065755171468,-67408.47806223872,300.8313267971664,0.9851178848987181
96000,-83103.38440865302,15671.858258277643,-67431.52615037537,301.6550053002876,0.9797458241099857
97000,-82721.53394570504,15576.579302303959,-67144.95464340108,299.82105724539963,0.9788836166546688
98000,-83236.34141642193,15456.947475915775,-67779.39394050615,297.5183603585037,0.9900828746105153
99000,-83066.08291961881,15612.709399960935,-67453.37351965788,300.5164964601117,0.9777043989968646
100000,-82911.39581726101,15508.312262070365,-67403.08355519065,298.50703984911405,0.9842108624245154
101000,-83295.22260375525,15524.813960973639,-67770.40864278161,298.8246677901083,0.9770031748837905
102000,-83390.43743589887,15619.790058159357,-67770.64737773951,300.65278635957185,0.9808402628799238
103000,-83090.50114075141,15659.884316357318,-67430.61682439409,301.4245285148347,0.9754264675980981
