#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
1000,-89680.35499478685,12317.90557295247,-77362.44942183438,237.0974653841583
2000,-86626.40382291185,13918.32761287177,-72708.07621004008,267.9027030897481
3000,-85329.69972134935,15161.118339217268,-70168.58138213208,291.82418304219
4000,-84117.64308072435,15400.450699525652,-68717.19238119869,296.4308993120506
5000,-83333.96534634935,15281.332357324893,-68052.63298902445,294.138086069629
6000,-82891.22804166185,15430.48216466239,-67460.74587699946,297.0089508504004
7000,-82956.61866666185,15855.177115290659,-67101.44155137119,305.1835626591251
8000,-83180.03956509935,15819.636083429446,-67360.4034816699,304.4994618985271
9000,-83164.06300259935,15537.595251094666,-67626.46775150468,299.0706845722704
10000,-83476.70948697435,15760.467749325093,-67716.24173764925,303.36057818456607
11000,-82842.46729947435,15403.576054595876,-67438.89124487847,296.49105676018064
12000,-82765.27589322435,15443.299304990796,-67321.97658823355,297.2556576843943
13000,-83088.56300259935,15855.129680004204,-67233.43332259514,305.1826496154164
14000,-82968.43995572435,15465.13140763808,-67503.30854808626,297.67588628340576
15000,-83026.50050259935,15395.014076043852,-67631.4864265555,296.3262541156615
16000,-83105.04933072435,15511.379672532785,-67593.66965819156,298.5660819680542
17000,-82897.75636197435,15331.221582200611,-67566.53477977373,295.0983636669818
18000,-83129.73292447435,15571.3548099834,-67558.37811449094,299.72049519125926
19000,-83099.64308072435,15812.193308668677,-67287.44977205567,304.3562019083646
20000,-82986.29835416185,15850.715562038356,-67135.58279212349,305.09768580599183
21000,-83026.66456509935,15957.636567273177,-67069.02799782617,307.15572231125356
22000,-83182.12354947435,15582.05103662191,-67600.07251285244,299.92637826205777
23000,-83438.48683072435,15678.396672003902,-67760.09015872044,301.7808579716649
24000,-83064.86280728685,15575.65507303318,-67489.20773425366,299.8032674989011
25000,-82528.62550259935,15592.32783319999,-66936.29766939936,300.1241880606879
26000,-82902.24464322435,15523.094134899438,-67379.1505083249,298.791564240103
27000,-83090.32081509935,15602.571328286547,-67487.7494868128,300.3213568656697
28000,-83098.11183072435,15966.200689110905,-67131.91114161344,307.3205662101567
29000,-82801.89698697435,15988.468231723877,-66813.42875525047,307.7491762431368
30000,-83259.96534634935,15666.262260335963,-67593.70308601338,301.54729243299784
31000,-83467.78077603685,15650.36523063248,-67817.41554540436,301.2413032835024
32000,-82819.13331509935,15584.737337187864,-67234.39597791148,299.9780847028707
33000,-82693.06495572435,15607.199499028968,-67085.86545669538,300.4104408049721
34000,-82619.92823697435,15093.478383481968,-67526.44985349238,290.5222358914706
35000,-83336.96729947435,15481.262118334125,-67855.70518114022,297.98637337053486
36000,-82692.90968228685,15505.767859993968,-67187.14182229288,298.4580646982932
37000,-82935.00343228685,15732.134384736884,-67202.86904754996,302.81521201903706
38000,-82939.78761197435,15438.633075043093,-67501.15453693125,297.16584117403477
39000,-83354.42140103685,15711.736497649457,-67642.68490338739,302.4225894827643
40000,-82853.76808072435,15461.533888262697,-67392.23419246165,297.6066405240092
41000,-82798.76515103685,15357.946102282964,-67440.81904875388,295.6127624775269
42000,-82742.19483853685,15214.61143395165,-67527.5834045852,292.85382863428856
43000,-82810.09132291185,15640.017361782957,-67170.07396112889,301.0421254718347
44000,-83088.58351041185,15889.745088463533,-67198.83842194831,305.84893379500653
45000,-83031.56202603685,15462.840461669024,-67568.72156436782,297.6317897055112
46000,-82721.60206509935,15356.139660866815,-67365.46240423253,295.57799173841084
47000,-82871.19386197435,15659.915501021547,-67211.2783609528,301.42512876337565
48000,-82511.20167447435,15966.179173008073,-66545.02250146627,307.32015206398415
49000,-82883.56300259935,16154.125166634738,-66729.4378359646,310.93777345701034
50000,-83155.70851041185,15565.564832724398,-67590.14367768745,299.60904857197716
51000,-83114.00148769596,15577.437182488618,-67536.56430520734,299.8375698916593
52000,-82915.72325599514,15468.682578503154,-67447.04067749198,297.7442399175742
53000,-83363.24075839587,15580.62022599671,-67782.62053239916,299.89883773816996
54000,-83148.54923102277,15423.391141395317,-67725.15808962745,296.8724614420634
55000,-83127.21010112303,15479.173700885149,-67648.03640023788,297.9461751013661
56000,-82930.92424068484,15551.309937106445,-67379.61430357839,299.33466754183246
57000,-82670.98965783126,15405.162433917634,-67265.82722391363,296.52159170088936
58000,-82867.23768455588,15304.262212245027,-67562.97547231085,294.57944441995835
59000,-82905.95346408495,15503.385557264555,-67402.56790682039,298.41220966753525
60000,-82886.8442544234,15485.809366034344,-67401.03488838905,298.07389968722975
61000,-83022.46413027518,15640.027589762118,-67382.43654051307,301.0423223419861
62000,-82728.68984231132,15455.713841316407,-67272.97600099491,297.4946151174813
63000,-83336.93263440218,15700.01505273208,-67636.9175816701,302.196972809208
64000,-83245.86118468264,15886.739449433051,-67359.12173524959,305.79108066471855
65000,-83553.12119768024,15624.650351997465,-67928.47084568278,300.7463382498029
66000,-83541.8520663908,15587.608263393166,-67954.24380299763,300.03334485424557
67000,-83392.11838987248,15725.53954176238,-67666.5788481101,302.68827318640837
68000,-82947.71519969357,15455.014078946318,-67492.70112074725,297.48114595396675
69000,-83373.18117776449,15545.84095028229,-67827.3402274822,299.22939940947447
70000,-83459.48556726135,15592.661207982106,-67866.82435927924,300.1306049239602
71000,-83588.99095041153,15417.013729417231,-68171.9772209943,296.74970776395156
