#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,-75305.20023269561,374.7540895628833,0.9060155175683094
2000,-80379.08416645869,318.7222338439142,0.9499829502865417
3000,-82288.72672942886,306.6274432524333,0.9794296124833806
4000,-83081.34223318333,298.1917360641488,0.9795942409442553
5000,-82774.35744705866,301.9900740462367,0.9885104583167369
6000,-83100.89479990117,304.89495839294074,0.9820993086874084
7000,-83612.2928176985,299.14151081602546,0.9882141588450583
8000,-82980.5275659723,306.4840616458577,0.9868240392360185
9000,-83142.75404177915,299.59152804723254,0.9851519830881855
10000,-83073.44800481678,297.81391442081764,0.9878076040477525
11000,-83531.35122525296,294.39813881946327,0.9826883989499141
12000,-83235.49604961951,304.5764728537708,0.9806358515455131
13000,-82685.91529734479,299.23916542471693,0.9847720208940655
14000,-83278.71255413292,297.78727261859416,0.9863026608679893
15000,-83221.2109067755,306.5006888655685,0.9730660907899806
16000,-83371.11760931188,304.7233266073098,0.9928289274943348
17000,-83324.23834078008,301.39507910554204,0.9905479668091648
18000,-83124.69518579158,298.74173143643134,0.9808724469864439
19000,-83238.24545205466,296.57072598519625,0.9880122132278801
20000,-83063.17117320665,294.45581580976267,0.9768848875839325
21000,-82592.6028097932,297.01339091486375,0.9786315227101554
22000,-82999.61319064884,300.03270513069197,0.9850549144152917
23000,-83088.87828184222,303.5882618470443,0.9765493662482353
24000,-83138.0211513575,298.7256174162148,0.9751459416130462
25000,-83389.97806566668,299.70298196129716,0.9872780658474958
26000,-83201.74572334858,303.8309540017876,0.9823463542777747
27000,-83087.47246888973,303.20684298625844,0.9846466193945691
28000,-82633.94517374382,300.9646184545284,0.9839445134957986
29000,-83109.54229639238,304.4240807444062,0.9713594422792313
30000,-83004.1996023808,295.2311970690687,0.984317902421263
31000,-83031.5115435897,298.69639788203574,0.9808676006690025
32000,-83689.03921296349,305.59066215412645,0.9838281139796529
33000,-83186.79365809221,303.7974860126,0.9840712695509847
34000,-83765.02881052723,300.21249779264815,0.9932098192167003
35000,-83489.07396788977,297.38660901600326,0.9894876044117736
36000,-83325.4862467284,293.4533998301426,0.9866858601523399
37000,-82818.18408698909,298.1925407102743,0.9786640581421715
38000,-83054.00305504567,305.3199966981661,0.9784879147879422
39000,-82987.0781572428,304.57390114461714,0.9770486674125541
40000,-83712.53782264667,303.1675673984313,0.9854670027914241
41000,-82988.02508645272,299.77083094393413,0.9896074619494514
42000,-82630.16478690767,298.45507400805,0.9740664061309317
43000,-83031.1469000869,301.6015595312986,0.9850801916845567
44000,-83363.66275383666,295.0663765828494,0.9865613657795022
45000,-83464.12886087323,297.43656368462854,0.9899344271414593
46000,-83227.62146463874,299.7563911896711,0.9849688075057274
47000,-83020.05619106989,299.68789666102487,0.9839762698691131
48000,-82987.71591097483,299.62297925546403,0.9797536316240466
49000,-83110.47480908438,303.585131341696,0.98092670859879
50000,-83257.9037963071,304.4240893163319,0.9947756182280002
51000,-83158.13200253452,303.39847495327984,0.9933806961385151
52000,-82732.85951796151,297.9168614221121,0.9758905281566986
53000,-82676.95985363825,299.910360197076,0.9891193827993418
54000,-83188.81175467774,299.57673312420485,0.9882628347436356
55000,-83441.56908654585,301.520955922351,0.9783079899354841
56000,-83023.84472668672,301.34677553970164,0.9785236746845201
57000,-83063.53078456793,296.429169656335,0.9806945697336494
58000,-83501.58315490268,294.4633059333064,0.9879275391495637
59000,-83499.54061907879,301.88461243242614,0.9937882965657414
60000,-82928.7689154537,303.57106109005645,0.9872779706038184
61000,-83059.44077947485,304.1636802539726,0.9867393310989435
62000,-83020.50946912728,299.75797669602525,0.9676597184029102
63000,-83188.58359428652,296.4198971585264,0.9830809994191492
64000,-83241.82508383569,299.6692532521931,0.9887682809544611
65000,-83108.60942118766,301.3245984119507,0.9820246714732781
66000,-83526.56460641063,296.4954607135796,0.9917563376271062
67000,-83312.41377326567,299.56518751489995,0.9935775048740813
68000,-83455.71187338291,303.1477623137478,0.987150275942191
69000,-83097.23025810905,298.4869354170983,0.9774248149476703
70000,-83009.74127930164,304.89914619268524,0.9791912237224943
71000,-83203.41141009593,301.7931976214846,0.9805554380446003
72000,-83472.90088098531,300.73578024961853,0.9852208035148556
73000,-83153.16261436936,299.43028870060493,0.9842339341713207
74000,-82822.72261511761,297.3863602647467,0.9936106998926689
75000,-82827.39739018801,305.1535431417372,0.9881936770368426
76000,-83509.1146048918,297.3734857066989,0.9826542998740022
77000,-83131.65642750956,290.2453299414185,0.9743882852775791
78000,-83429.37690564629,302.84842744865983,0.9869461579307723
79000,-83227.69183369464,302.83989681257935,0.9784488653143893
80000,-83666.17144614761,304.7733155763982,0.9903719593286329
81000,-82306.38670014899,296.5869778911123,0.9803542716872226
82000,-82662.0307788708,299.3247853420963,0.9749126770502418
83000,-82851.04646296438,299.9223179107345,0.9912637782646037
84000,-83057.58963135415,300.5850180296233,0.9893059424709977
85000,-82866.77875006752,300.21051356597144,0.9823498219306444
86000,-83054.18733820773,296.5939117711928,0.9787500923558622
87000,-83507.36888949556,311.77508282093856,0.9945910441317766
88000,-83493.92424283386,302.6896295575517,0.9838554140634819
89000,-83560.37660569762,300.7139801256421,0.9853926831866572
